Name of Restaurant,City,Country Code,Day Of Week,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
13th note glasgow,Glasgow,GB,2,12,0,0,0
,,,,,,,
13th note glasgow,Glasgow,GB,3,12,0,0,0
,,,,,,,
13th note glasgow,Glasgow,GB,4,12,0,0,0
,,,,,,,
13th note glasgow,Glasgow,GB,5,12,0,0,0
,,,,,,,
13th note glasgow,Glasgow,GB,6,12,0,0,0
,,,,,,,
1428 haight patio cafe and crepery san francisco,San Francisco,US,0,8,0,22,0
,,,,,,,
1428 haight patio cafe and crepery san francisco,San Francisco,US,1,8,0,22,0
,,,,,,,
1428 haight patio cafe and crepery san francisco,San Francisco,US,2,8,0,22,0
,,,,,,,
1428 haight patio cafe and crepery san francisco,San Francisco,US,3,8,0,22,0
,,,,,,,
1428 haight patio cafe and crepery san francisco,San Francisco,US,4,8,0,22,0
,,,,,,,
1428 haight patio cafe and crepery san francisco,San Francisco,US,5,8,0,22,0
,,,,,,,
1428 haight patio cafe and crepery san francisco,San Francisco,US,6,8,0,22,0
,,,,,,,
163 vietnamese sandwiches and bubble tea boston,Boston,US,0,7,30,19,30
,,,,,,,
163 vietnamese sandwiches and bubble tea boston,Boston,US,1,7,30,19,30
,,,,,,,
163 vietnamese sandwiches and bubble tea boston,Boston,US,2,7,30,19,30
,,,,,,,
163 vietnamese sandwiches and bubble tea boston,Boston,US,3,7,30,19,30
,,,,,,,
163 vietnamese sandwiches and bubble tea boston,Boston,US,4,7,30,19,30
,,,,,,,
163 vietnamese sandwiches and bubble tea boston,Boston,US,5,7,30,19,30
,,,,,,,
163 vietnamese sandwiches and bubble tea boston,Boston,US,6,7,30,19,30
,,,,,,,
1760 san francisco,San Francisco,US,0,17,0,22,0
,,,,,,,
1760 san francisco,San Francisco,US,1,17,0,22,0
,,,,,,,
1760 san francisco,San Francisco,US,2,17,0,22,0
,,,,,,,
1760 san francisco,San Francisco,US,3,17,0,22,0
,,,,,,,
1760 san francisco,San Francisco,US,4,17,0,23,0
,,,,,,,
1760 san francisco,San Francisco,US,5,11,0,14,30
,,,,,,,
1760 san francisco,San Francisco,US,5,17,0,23,0
,,,,,,,
1760 san francisco,San Francisco,US,6,11,0,14,30
,,,,,,,
1760 san francisco,San Francisco,US,6,17,0,22,0
,,,,,,,
1806 melbourne,Melbourne,AU,0,17,0,1,0
,,,,,,,
1806 melbourne,Melbourne,AU,1,17,0,1,0
,,,,,,,
1806 melbourne,Melbourne,AU,2,17,0,1,0
,,,,,,,
1806 melbourne,Melbourne,AU,3,17,0,1,0
,,,,,,,
1806 melbourne,Melbourne,AU,4,16,0,1,0
,,,,,,,
1806 melbourne,Melbourne,AU,5,17,0,3,0
,,,,,,,
1806 melbourne,Melbourne,AU,6,18,0,1,0
,,,,,,,
1907 restaurant perth,Perth,AU,1,11,0,15,0
,,,,,,,
1907 restaurant perth,Perth,AU,1,18,0,0,0
,,,,,,,
1907 restaurant perth,Perth,AU,2,11,0,15,0
,,,,,,,
1907 restaurant perth,Perth,AU,2,18,0,0,0
,,,,,,,
1907 restaurant perth,Perth,AU,3,11,0,15,0
,,,,,,,
1907 restaurant perth,Perth,AU,3,18,0,0,0
,,,,,,,
1907 restaurant perth,Perth,AU,4,11,0,15,0
,,,,,,,
1907 restaurant perth,Perth,AU,4,18,0,0,0
,,,,,,,
1907 restaurant perth,Perth,AU,5,11,0,15,0
,,,,,,,
1907 restaurant perth,Perth,AU,5,18,0,0,0
,,,,,,,
1912 dining bar sydney,Sydney,AU,0,16,0,0,0
,,,,,,,
1912 dining bar sydney,Sydney,AU,1,16,0,0,0
,,,,,,,
1912 dining bar sydney,Sydney,AU,2,16,0,0,0
,,,,,,,
1912 dining bar sydney,Sydney,AU,3,16,0,0,0
,,,,,,,
1912 dining bar sydney,Sydney,AU,4,16,0,0,0
,,,,,,,
1912 dining bar sydney,Sydney,AU,5,16,0,0,0
,,,,,,,
1917 american bistro detroit,Detroit,US,0,10,0,23,0
,,,,,,,
1917 american bistro detroit,Detroit,US,1,10,0,23,0
,,,,,,,
1917 american bistro detroit,Detroit,US,2,10,0,23,0
,,,,,,,
1917 american bistro detroit,Detroit,US,3,10,0,23,0
,,,,,,,
1917 american bistro detroit,Detroit,US,4,10,0,23,0
,,,,,,,
1917 american bistro detroit,Detroit,US,5,10,0,23,0
,,,,,,,
1917 american bistro detroit,Detroit,US,6,10,0,20,0
,,,,,,,
2 amys neapolitan pizzeria washington,Washington,US,0,17,0,22,0
,,,,,,,
2 amys neapolitan pizzeria washington,Washington,US,1,11,0,22,0
,,,,,,,
2 amys neapolitan pizzeria washington,Washington,US,2,11,0,22,0
,,,,,,,
2 amys neapolitan pizzeria washington,Washington,US,3,11,0,22,0
,,,,,,,
2 amys neapolitan pizzeria washington,Washington,US,4,11,0,23,0
,,,,,,,
2 amys neapolitan pizzeria washington,Washington,US,5,11,0,23,0
,,,,,,,
2 amys neapolitan pizzeria washington,Washington,US,6,12,0,22,0
,,,,,,,
20 spot san francisco,San Francisco,US,0,17,0,1,0
,,,,,,,
20 spot san francisco,San Francisco,US,1,17,0,1,0
,,,,,,,
20 spot san francisco,San Francisco,US,2,17,0,1,0
,,,,,,,
20 spot san francisco,San Francisco,US,3,17,0,1,0
,,,,,,,
20 spot san francisco,San Francisco,US,4,17,0,1,0
,,,,,,,
20 spot san francisco,San Francisco,US,5,17,0,1,0
,,,,,,,
204 north kitchen and cocktails charlotte,Charlotte,US,0,11,0,0,0
,,,,,,,
204 north kitchen and cocktails charlotte,Charlotte,US,1,11,0,0,0
,,,,,,,
204 north kitchen and cocktails charlotte,Charlotte,US,2,11,0,2,0
,,,,,,,
204 north kitchen and cocktails charlotte,Charlotte,US,3,11,0,2,0
,,,,,,,
204 north kitchen and cocktails charlotte,Charlotte,US,4,11,0,2,0
,,,,,,,
204 north kitchen and cocktails charlotte,Charlotte,US,5,11,0,2,0
,,,,,,,
204 north kitchen and cocktails charlotte,Charlotte,US,6,11,0,0,0
,,,,,,,
20th street café denver 2,Denver,US,1,6,30,14,30
,,,,,,,
20th street café denver 2,Denver,US,2,6,30,14,30
,,,,,,,
20th street café denver 2,Denver,US,3,6,30,14,30
,,,,,,,
20th street café denver 2,Denver,US,4,6,30,14,30
,,,,,,,
20th street café denver 2,Denver,US,5,7,0,13,30
,,,,,,,
20th street café denver 2,Denver,US,6,7,0,13,30
,,,,,,,
21 shanghai house new york 4,New York,US,0,11,0,21,30
,,,,,,,
21 shanghai house new york 4,New York,US,1,11,0,21,30
,,,,,,,
21 shanghai house new york 4,New York,US,2,11,0,21,30
,,,,,,,
