Word,Rank,Frequency
ask,474,43
stay,475,43
conversation,476,42
need,477,42
proper,478,42
different,479,42
ladies,480,42
spoke,481,42
real,482,41
power,483,41
five,484,41
night,485,41
afterwards,486,41
call,487,41
fine,488,41
respect,489,41
reason,490,41
early,491,40
allowed,492,40
kindness,493,40
head,494,40
open,495,40
beginning,496,40
nature,497,40
themselves,498,40
particular,499,40
end,500,40
expected,501,40
sitting,502,40
fond,503,39
pleasant,504,39
health,505,39
settled,506,39
entirely,507,39
meeting,508,39
help,509,39
returned,510,39
Not,511,39
question,512,39
creature,513,39
whose,514,39
delightful,515,39
round,516,39
object,517,39
One,518,39
weather,519,39
sit,520,38
fortune,521,38
impossible,522,38
thoughts,523,38
met,524,38
bring,525,38
",--",526,38
child,527,38
fancy,528,38
wrong,529,38
asked,530,38
use,531,38
continued,532,38
letters,533,38
Colonel,534,38
handsome,535,37
sat,536,37
sometimes,537,37
Every,538,37
engaged,539,37
surprize,540,37
convinced,541,37
truth,542,37
yes,543,37
seem,544,37
added,545,37
temper,546,36
necessary,547,36
got,548,36
received,549,36
Enscombe,550,36
forward,551,36
new,552,36
Now,553,36
determined,554,36
meaning,555,36
probably,556,36
consider,557,36
appear,558,36
large,559,35
please,560,35
supposed,561,35
company,562,35
taste,563,35
gentleman,564,35
news,565,35
comfortable,566,34
marriage,567,34
amiable,568,34
husband,569,34
circumstance,570,34
At,571,34
common,572,34
obliging,573,34
morrow,574,34
".--""",575,34
sister,576,33
excellent,577,33
perfect,578,33
evil,579,33
pain,580,33
why,581,33
sent,582,33
acquainted,583,33
wanting,584,33
ago,585,32
match,586,32
meet,587,32
keep,588,32
hearing,589,32
face,590,32
matter,591,32
",'",592,32
surprized,593,32
neither,594,32
",)",595,32
Robert,596,32
absolutely,597,32
dancing,598,32
danger,599,31
begin,600,31
spoken,601,31
except,602,31
resolution,603,31
second,604,31
compliment,605,31
says,606,31
Abbey,607,31
interesting,608,31
:--,609,31
case,610,31
eye,611,31
smiling,612,31
praise,613,31
yesterday,614,31
persuaded,615,31
engagement,616,31
ball,617,31
Maple,618,31
Grove,619,31
twenty,620,30
difference,621,30
Poor,622,30
papa,623,30
knows,624,30
pass,625,30
With,626,30
small,627,30
warm,628,30
circumstances,629,30
drawing,630,30
fair,631,30
appearance,632,30
months,633,30
serious,634,30
difficulty,635,30
anxious,636,30
worth,637,30
judgment,638,29
gratitude,639,29
followed,640,29
cheerful,641,29
looks,642,29
turned,643,29
four,644,29
greatest,645,29
merely,646,29
greater,647,29
week,648,29
beauty,649,29
delighted,650,29
men,651,29
within,652,29
charming,653,29
attentions,654,29
easy,655,28
satisfaction,656,28
times,657,28
year,658,28
shew,659,28
curiosity,660,28
occasion,661,28
taking,662,28
ten,663,28
worse,664,28
turn,665,28
ashamed,666,28
forget,667,28
resolved,668,28
clever,669,27
consequence,670,27
companion,671,27
loved,672,27
advantage,673,27
table,674,27
none,675,27
alone,676,27
Your,677,27
spirit,678,27
view,679,27
parties,680,27
happened,681,27
style,682,27
notice,683,27
actually,684,27
decided,685,27
honour,686,27
conduct,687,27
friendship,688,26
knowing,689,26
aware,690,26
marrying,691,26
pity,692,26
odd,693,26
mentioned,694,26
late,695,26
understanding,696,26
For,697,26
fortunate,698,26
regret,699,26
tried,700,26
favour,701,26
sight,702,26
knowledge,703,26
Upon,704,26
completely,705,26
plan,706,26
excuse,707,26
Let,708,26
certain,709,26
Campbells,710,26
lived,711,25
attached,712,25
sad,713,25
pay,714,25
distance,715,25
horses,716,25
sensible,717,25
guess,718,25
hours,719,25
vain,720,25
mine,721,25
sake,722,25
quiet,723,25
struck,724,25
led,725,25
